user_id,total_sessions,avg_session_length,total_purchases,total_levels,last_login,first_login,days_since_last_login,days_active,sessions_per_week,churned,R_score,F_score,M_score,RFM_score,engagement_score,purchase_rate,level_rate,is_high_spender,is_highly_active,cluster,segment
1,7,30.228571428571428,41,78,2024-12-18,2024-01-03,13,351,0.14,0,4.0,1.0,3.0,8.0,17.9,5.857,11.143,0,0,3,High Spender
2,7,67.92857142857143,13,78,2024-12-29,2024-01-28,2,337,0.15,0,5.0,1.0,1.0,7.0,29.25,1.857,11.143,0,0,1,Casual
3,10,45.18,26,61,2024-12-29,2024-02-27,2,307,0.23,0,5.0,3.0,2.0,10.0,20.94,2.6,6.1,0,0,1,Casual
4,10,35.07,26,91,2024-12-19,2024-01-22,12,333,0.21,0,4.0,2.0,2.0,8.0,21.01,2.6,9.1,0,0,0,At-Risk
5,8,28.7,45,62,2024-12-12,2024-02-10,19,307,0.18,0,4.0,1.0,4.0,9.0,15.9,5.625,7.75,0,0,3,High Spender
6,17,33.42352941176471,81,146,2024-12-06,2024-02-06,25,305,0.39,0,3.0,5.0,5.0,13.0,27.06,4.765,8.588,1,1,2,High Engagement
7,10,36.77,45,107,2024-11-09,2024-01-27,52,288,0.24,1,2.0,3.0,4.0,9.0,23.33,4.5,10.7,0,0,3,High Spender
8,6,33.56666666666666,7,84,2024-12-06,2024-02-14,25,297,0.14,0,3.0,1.0,1.0,5.0,19.53,1.167,14.0,0,0,0,At-Risk
9,9,27.344444444444445,32,103,2024-12-22,2024-01-28,9,330,0.19,0,5.0,2.0,3.0,10.0,19.88,3.556,11.444,0,0,0,At-Risk
10,10,36.88,46,70,2024-11-24,2024-02-25,37,274,0.26,1,2.0,4.0,4.0,10.0,19.52,4.6,7.0,0,0,3,High Spender
11,14,36.42142857142857,24,155,2024-12-07,2024-01-02,24,341,0.29,0,3.0,4.0,2.0,9.0,28.52,1.714,11.071,0,1,2,High Engagement
12,10,28.410000000000004,0,94,2024-11-08,2024-01-09,53,305,0.23,1,2.0,3.0,1.0,6.0,19.41,0.0,9.4,0,0,0,At-Risk
13,6,58.26666666666667,40,75,2024-09-28,2024-01-06,94,267,0.16,1,1.0,1.0,3.0,5.0,26.07,6.667,12.5,0,0,1,Casual
14,8,47.4625,52,40,2024-11-01,2024-01-10,60,297,0.19,1,1.0,2.0,4.0,7.0,19.24,6.5,5.0,0,0,3,High Spender
15,10,27.110000000000003,47,77,2024-11-19,2024-01-07,42,318,0.22,1,2.0,2.0,4.0,8.0,17.18,4.7,7.7,0,0,3,High Spender
16,13,19.930769230769233,58,91,2024-12-28,2024-01-01,3,363,0.25,0,5.0,3.0,5.0,13.0,16.63,4.462,7.0,1,0,3,High Spender
17,7,32.871428571428574,24,64,2024-11-15,2024-01-20,46,301,0.16,1,2.0,1.0,2.0,5.0,17.29,3.429,9.143,0,0,0,At-Risk
18,8,69.075,62,85,2024-11-04,2024-01-01,57,309,0.18,1,2.0,1.0,5.0,8.0,30.45,7.75,10.625,1,0,1,Casual
19,5,46.48,5,58,2024-12-11,2024-01-01,20,346,0.1,0,3.0,1.0,1.0,5.0,20.49,1.0,11.6,0,0,1,Casual
20,11,51.627272727272725,10,94,2024-09-30,2024-01-20,92,255,0.3,1,1.0,4.0,1.0,6.0,26.65,0.909,8.545,0,1,1,Casual
21,12,37.516666666666666,22,105,2024-12-05,2024-01-03,26,338,0.25,0,3.0,3.0,2.0,8.0,23.39,1.833,8.75,0,0,1,Casual
22,14,38.542857142857144,58,109,2024-11-27,2024-02-09,34,293,0.33,1,3.0,5.0,5.0,13.0,24.44,4.143,7.786,1,1,2,High Engagement
23,13,33.1,25,99,2024-12-03,2024-02-02,28,306,0.3,0,3.0,4.0,2.0,9.0,21.62,1.923,7.615,0,1,1,Casual
24,7,25.11428571428571,14,50,2024-12-18,2024-04-08,13,255,0.19,0,4.0,2.0,1.0,7.0,13.59,2.0,7.143,0,0,0,At-Risk
25,2,24.1,10,32,2024-06-17,2024-04-12,197,67,0.21,1,1.0,2.0,1.0,4.0,11.46,5.0,16.0,0,0,0,At-Risk
26,14,39.92857142857143,32,108,2024-11-27,2024-04-13,34,229,0.43,1,3.0,5.0,3.0,11.0,25.15,2.286,7.714,0,1,2,High Engagement
27,11,26.44545454545454,36,115,2024-12-07,2024-01-18,24,325,0.24,0,3.0,3.0,3.0,9.0,21.08,3.273,10.455,0,0,0,At-Risk
28,3,44.73333333333333,0,35,2024-08-08,2024-02-02,145,189,0.11,1,1.0,1.0,1.0,3.0,17.57,0.0,11.667,0,0,0,At-Risk
29,14,20.985714285714288,82,160,2024-12-18,2024-04-01,13,262,0.37,0,4.0,5.0,5.0,14.0,24.74,5.857,11.429,1,1,2,High Engagement
30,11,31.863636363636363,18,54,2024-09-26,2024-01-24,96,247,0.31,1,1.0,5.0,1.0,7.0,16.52,1.636,4.909,0,1,0,At-Risk
31,9,19.177777777777777,40,90,2024-10-23,2024-03-06,69,232,0.27,1,1.0,4.0,3.0,8.0,16.37,4.444,10.0,0,0,0,At-Risk
32,5,36.64,11,41,2024-09-06,2024-02-08,116,212,0.17,1,1.0,1.0,1.0,3.0,16.02,2.2,8.2,0,0,0,At-Risk
33,15,25.586666666666662,66,152,2024-12-13,2024-01-16,18,333,0.32,0,4.0,5.0,5.0,14.0,25.07,4.4,10.133,1,1,2,High Engagement
34,10,33.62,47,93,2024-12-11,2024-01-28,20,319,0.22,0,3.0,2.0,4.0,9.0,20.82,4.7,9.3,0,0,3,High Spender
35,12,29.616666666666664,56,78,2024-12-12,2024-02-08,19,309,0.27,0,4.0,4.0,4.0,12.0,18.23,4.667,6.5,1,0,3,High Spender
36,8,43.087500000000006,24,44,2024-12-22,2024-02-07,9,320,0.18,0,5.0,1.0,2.0,8.0,18.31,3.0,5.5,0,0,0,At-Risk
37,14,44.08571428571429,38,124,2024-11-23,2024-02-06,38,292,0.34,1,2.0,5.0,3.0,10.0,27.73,2.714,8.857,0,1,2,High Engagement
38,16,31.6125,93,93,2024-12-28,2024-02-29,3,304,0.37,0,5.0,5.0,5.0,15.0,20.82,5.812,5.812,1,1,3,High Spender
39,15,32.63333333333333,60,204,2024-12-10,2024-01-13,21,333,0.32,0,3.0,5.0,5.0,13.0,32.7,4.0,13.6,1,1,2,High Engagement
40,10,42.620000000000005,12,93,2024-11-28,2024-01-19,33,315,0.22,1,3.0,2.0,1.0,6.0,23.52,1.2,9.3,0,0,1,Casual
41,11,26.136363636363637,33,72,2024-12-25,2024-01-04,6,357,0.22,0,5.0,2.0,3.0,10.0,16.35,3.0,6.545,0,0,0,At-Risk
42,10,26.619999999999997,42,102,2024-11-20,2024-01-17,41,309,0.23,1,2.0,3.0,4.0,9.0,19.72,4.2,10.2,0,0,3,High Spender
43,11,34.87272727272727,67,123,2024-12-16,2024-02-25,15,296,0.26,0,4.0,4.0,5.0,13.0,24.54,6.091,11.182,1,0,2,High Engagement
44,11,35.61818181818182,51,114,2024-08-24,2024-01-23,129,215,0.36,1,1.0,5.0,4.0,10.0,24.21,4.636,10.364,0,1,2,High Engagement
45,7,43.91428571428571,5,73,2024-11-20,2024-01-11,41,315,0.16,1,2.0,1.0,1.0,4.0,21.55,0.714,10.429,0,0,1,Casual
46,13,43.83076923076923,46,123,2024-11-29,2024-01-04,32,331,0.27,1,3.0,4.0,4.0,11.0,27.27,3.538,9.462,0,0,2,High Engagement
47,10,19.92,75,97,2024-12-27,2024-02-11,4,321,0.22,0,5.0,2.0,5.0,12.0,17.14,7.5,9.7,1,0,3,High Spender
48,14,28.49285714285714,103,130,2024-11-25,2024-03-22,36,249,0.39,1,2.0,5.0,5.0,12.0,23.89,7.357,9.286,1,1,2,High Engagement
49,10,25.889999999999997,50,105,2024-10-13,2024-02-04,79,253,0.28,1,1.0,4.0,4.0,9.0,20.02,5.0,10.5,0,0,3,High Spender
50,7,32.47142857142857,23,61,2024-12-18,2024-01-28,13,326,0.15,0,4.0,1.0,2.0,7.0,16.81,3.286,8.714,0,0,0,At-Risk
51,11,41.25454545454546,47,86,2024-11-29,2024-01-15,32,320,0.24,1,3.0,3.0,4.0,10.0,22.45,4.273,7.818,0,0,1,Casual
52,9,42.96666666666667,73,94,2024-12-24,2024-03-17,7,283,0.22,0,5.0,2.0,5.0,12.0,23.73,8.111,10.444,1,0,3,High Spender
53,6,32.71666666666667,34,81,2024-12-20,2024-02-25,11,300,0.14,0,4.0,1.0,3.0,8.0,18.96,5.667,13.5,0,0,3,High Spender
54,7,45.471428571428575,16,105,2024-11-15,2024-01-14,46,307,0.16,1,2.0,1.0,1.0,4.0,25.41,2.286,15.0,0,0,1,Casual
55,4,64.875,0,17,2024-11-21,2024-02-06,40,290,0.1,1,2.0,1.0,1.0,4.0,21.66,0.0,4.25,0,0,1,Casual
56,11,41.02727272727273,93,109,2024-11-09,2024-02-15,52,269,0.29,1,2.0,4.0,5.0,11.0,25.02,8.455,9.909,1,1,3,High Spender
57,9,21.1,34,69,2024-12-24,2024-05-03,7,236,0.27,0,5.0,4.0,3.0,12.0,14.72,3.778,7.667,0,0,0,At-Risk
58,8,26.25,48,87,2024-09-30,2024-02-15,92,229,0.24,1,1.0,3.0,4.0,8.0,18.06,6.0,10.875,0,0,3,High Spender
59,11,32.45454545454545,45,91,2024-11-13,2024-01-24,48,295,0.26,1,2.0,4.0,4.0,10.0,20.42,4.091,8.273,0,0,3,High Spender
60,25,34.124,100,271,2024-12-01,2024-02-19,30,287,0.44,1,3.0,5.0,5.0,13.0,40.73,4.0,10.84,1,1,2,High Engagement
61,6,63.03333333333333,13,31,2024-10-21,2024-04-11,71,194,0.22,1,1.0,2.0,1.0,4.0,23.08,2.167,5.167,0,0,1,Casual
62,7,34.614285714285714,49,74,2024-08-25,2024-02-08,128,200,0.25,1,1.0,3.0,4.0,8.0,19.23,7.0,10.571,0,0,3,High Spender
63,14,29.49285714285714,46,144,2024-11-14,2024-01-04,47,316,0.31,1,2.0,5.0,4.0,11.0,25.35,3.286,10.286,0,1,2,High Engagement
64,11,30.318181818181817,91,95,2024-12-18,2024-01-25,13,329,0.23,0,4.0,3.0,5.0,12.0,20.09,8.273,8.636,1,0,3,High Spender
65,10,39.05,77,110,2024-12-19,2024-02-09,12,315,0.22,0,4.0,2.0,5.0,11.0,24.26,7.7,11.0,1,0,3,High Spender
66,6,35.416666666666664,0,73,2024-12-16,2024-05-27,15,204,0.21,0,4.0,2.0,1.0,7.0,19.2,0.0,12.167,0,0,0,At-Risk
67,17,32.37647058823529,41,192,2024-12-24,2024-01-03,7,357,0.33,0,5.0,5.0,3.0,13.0,31.39,2.412,11.294,0,1,2,High Engagement
68,11,36.654545454545456,24,98,2024-11-22,2024-02-23,39,274,0.28,1,2.0,4.0,2.0,8.0,22.51,2.182,8.909,0,0,1,Casual
69,8,73.975,10,49,2024-11-05,2024-01-05,56,306,0.18,1,2.0,1.0,1.0,4.0,28.11,1.25,6.125,0,0,1,Casual
